timestamp,device_id,device_name,T_i,H_i,VPD_i,T_e,H_e,VPD_e,BLE_T_i,BLE_H_i,BLE_VPD_i,BLE_T_e,BLE_H_e,BLE_VPD_e,light_pct,exhaust_fan_rpm,circulation_fan_rpm,battery_voltage,rssi
1784811102.487974,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,,,,,,,,,,,,,,,,,
1784811102.487974,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811102.487974,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811157.502625,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,,,,,,,,,,,,,,,,,
1784811157.502625,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811157.502625,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811212.579898,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,24.99,35.28,2.049,24.69,34.91,2.024,23.875,36.4375,1.882,26.88,32.19,2.4,0,72,132,5.763,-57
1784811212.579898,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811212.579898,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811267.679845,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,24.97,35.3,2.046,24.7,35.02,2.022,23.8125,36.5,1.873,26.95,32.08,2.414,0,384,1922,5.802,-57
1784811267.679845,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811267.679845,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811322.74654,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,24.97,35.38,2.043,24.69,35.04,2.02,23.875,36.5,1.88,27.01,32.49,2.408,0,310,2052,6.567,-57
1784811322.74654,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811322.74654,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811377.823659,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,24.96,35.45,2.04,24.73,35.18,2.02,23.8125,36.375,1.877,27.02,32.22,2.419,0,397,2241,6.336,-57
1784811377.823659,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811377.823659,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811432.86606,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,24.97,35.39,2.043,24.76,35.19,2.024,23.875,36.375,1.884,26.83,32.32,2.389,0,30,151,7.827,-57
1784811432.86606,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811432.86606,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811487.892458,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.02,35.44,2.047,24.76,35.28,2.021,23.875,36.5,1.88,26.88,32.97,2.373,0,16,3,6.102,-56
1784811487.892458,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811487.892458,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811542.97437,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.02,35.44,2.047,24.8,35.25,2.027,23.875,36.5,1.88,27.01,32.87,2.394,0,212,1060,6.726,-57
1784811542.97437,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811542.97437,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811597.981179,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.03,35.49,2.047,24.8,35.28,2.026,23.875,36.75,1.873,26.88,32.77,2.38,0,279,1732,6.273,-57
1784811597.981179,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811597.981179,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811652.95822,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.03,35.49,2.047,24.79,35.35,2.022,23.875,36.6875,1.875,27.01,32.52,2.407,0,232,810,7.797,-54
1784811652.95822,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811652.95822,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811708.086398,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.06,35.54,2.049,24.79,35.38,2.021,23.875,36.5625,1.879,27.01,32.41,2.411,0,231,144,6.966,-57
1784811708.086398,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811708.086398,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811763.124636,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.04,35.79,2.039,24.79,35.56,2.016,23.875,36.5625,1.879,26.89,33.18,2.367,0,375,1620,7.686,-61
1784811763.124636,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811763.124636,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811818.185808,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.06,35.85,2.039,24.82,35.66,2.016,23.9375,36.75,1.88,27.11,32.55,2.42,0,346,1780,7.398,-53
1784811818.185808,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811818.185808,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811873.2627132,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.04,35.95,2.034,24.82,35.67,2.016,23.875,36.6875,1.875,26.88,32.79,2.379,0,191,528,7.527,-55
1784811873.2627132,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811873.2627132,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811928.359037,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.07,35.87,2.04,24.82,35.73,2.014,23.9375,36.75,1.88,27.02,33.11,2.387,0,175,452,7.053,-55
1784811928.359037,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,,,,,,,
1784811928.359037,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,,,,,,,
1784811983.377398,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,growmaster-d064,25.06,35.99,2.035,24.8,35.82,2.009,23.9375,36.8125,1.878,27.01,32.91,2.393,0,413,1942,6.399,-55
